Report Written :   Thursday, July 12, 2018  22:31
Project Path   :   Z:\home\chris\git\aut\io-can-modul_pcb\io-can-modul.prj
Design Path    :   Z:\home\chris\git\aut\io-can-modul_pcb\io-can-modul.pcb
Design Title   :
Created        :   25.11.2015 10:02:45
Last Saved     :   12.07.2018 22:27:59
Editing Time   :   1897 min
Units          :   thou (precision 0)

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Description"
"LED9","1","LED_SM","","SM","OSRAM Opto Semiconductors","LG T770-K1M2-1","654-4972","TOPLED RG SMD LED-Modul Grün, 0,05 lm 2,5 V, PLCC 2 120° Linse Round, 2-pin"
"LED10","1","LED_SM","","SM","OSRAM Opto Semiconductors","LG T770-K1M2-1","654-4972","TOPLED RG SMD LED-Modul Grün, 0,05 lm 2,5 V, PLCC 2 120° Linse Round, 2-pin"
"LED1","1","LED_SM","","SM","OSRAM Opto Semiconductors","LG T770-K1M2-1","654-4972","TOPLED RG SMD LED-Modul Grün, 0,05 lm 2,5 V, PLCC 2 120° Linse Round, 2-pin"
"LED11","1","LED_SM","","SM","OSRAM Opto Semiconductors","LG T770-K1M2-1","654-4972","TOPLED RG SMD LED-Modul Grün, 0,05 lm 2,5 V, PLCC 2 120° Linse Round, 2-pin"
"L3","1","L_47uH_R200","","DIL","Panasonic","ELC09D470F","540-8594","Induktivität bedrahtet, Ferrit-Kern, 47 µH ±10% 1,2A dc, DC-Widerstand 0.11O"
"L4","1","L_47uH_R200","","DIL","Panasonic","ELC09D470F","540-8594","Induktivität bedrahtet, Ferrit-Kern, 47 µH ±10% 1,2A dc, DC-Widerstand 0.11O"
"L5","1","L_47uH_R200","","DIL","Panasonic","ELC09D470F","540-8594","Induktivität bedrahtet, Ferrit-Kern, 47 µH ±10% 1,2A dc, DC-Widerstand 0.11O"
"U6","1","MCP9800_SOT23-5","","SOT-23-5_MC","Microchip","MCP9800","668-7215","MCP-TemperaturSensor_I2C"
"CN1","1","PHX_3POL_2K","","R200","Phönix Contact","1991105","112-702","SPT 2,5/ 3-V-5,0_3 pol_RM 5"
"CN15","1","PHX_3POL_2K","","R200","Phönix Contact","1991105","112-702","SPT 2,5/ 3-V-5,0_3 pol_RM 5"
"CN5","1","PHX_MCV1.5/ 2-G-3.5","","R200","Phoenix Contact","MCV 1,5/ 2-G-3,5 - 1843606","","Grundgehäuse, Nennstrom: 8 A, Bemessungsspannung (III/2): 160 V, Polzahl: 2, Rastermaß: 3,5 mm, Farbe: grün, Kontaktoberfläche: Zinn, Montage: Löten"
